Đa hình (Polymorphism) cho phép?;Một phương thức có thể có nhiều cách thực hiện.;Viết mã nhanh hơn.;Tăng dung lượng file.;Giảm số lượng lỗi.;A;1
Biểu đồ trạng thái cần có những gì?;Trạng thái bắt đầu và kết thúc.;Chỉ có các hành động.;Chỉ có tên lớp.;Chỉ có các biến.;A;1
Quy trình phát triển phần mềm gồm bao nhiêu pha cơ bản?;2;3;4-5;10;C;1
Tính kế thừa giúp?;Tái sử dụng mã nguồn và cấu trúc.;Làm phần mềm chạy chậm hơn.;Tăng dung lượng phần mềm.;Xóa lỗi phần mềm.;A;1
Thiết kế chi tiết (Detail Design) tập trung vào?;Logic của từng module, thuật toán.;Tổng thể toàn bộ hệ thống.;Yêu cầu khách hàng.;Ngân sách dự án.;A;1
"Mối quan hệ ""Composition"" thể hiện?";Sự phụ thuộc chặt chẽ, nếu lớp cha hủy thì con hủy theo.;Sự liên kết lỏng lẻo.;Kế thừa.;Không có quan hệ gì.;A;1
Để giảm độ phức tạp của hệ thống, ta dùng phương pháp?;Chia để trị (Divide and Conquer).;Viết thêm code.;Đóng gói.;Sửa lỗi.;A;1
Độ gắn kết (Cohesion) cao trong module nghĩa là?;Các thành phần trong module liên quan chặt chẽ đến chức năng duy nhất.;Module có quá nhiều chức năng.;Module không có chức năng nào.;Module phụ thuộc vào các module khác.;A;1
Độ ghép nối (Coupling) thấp giữa các module là?;Tốt vì giảm sự phụ thuộc giữa các module.;Xấu vì khó bảo trì.;Không quan trọng.;Không thể thực hiện được.;A;1
Mô hình Scrum thuộc loại quy trình nào?;Waterfall;Agile;V-Model;Spiral;B;1
Biểu đồ hoạt động sử dụng để?;Mô tả luồng công việc hoặc logic xử lý.;Mô tả cấu trúc cơ sở dữ liệu.;Mô tả phần cứng.;Thiết kế giao diện.;A;1
Trong UML, biểu đồ lớp không bao gồm?;Thuộc tính;Phương thức;Tên lớp;Thời gian chạy;D;1
Lợi ích của việc sử dụng mô hình hóa (UML) là gì?;Dễ dàng giao tiếp giữa các bên.;Thay thế hoàn toàn lập trình.;Giảm dung lượng file.;Tăng tốc phần cứng.;A;1
Giai đoạn bảo trì phần mềm bao gồm?;Sửa lỗi và cập nhật tính năng sau khi bàn giao.;Chỉ viết code.;Thiết kế cơ sở dữ liệu.;Chỉ kiểm thử.;A;1
Công cụ nào sau đây thường dùng để vẽ UML?;Enterprise Architect, Visual Paradigm.;Notepad.;Excel.;Paint.;A;1
Mô hình nào kiểm thử và phát triển đi song hành?;V-Model;Waterfall;Spiral;Agile;A;1
Mục đích của thiết kế giao diện là?;Tối ưu hóa trải nghiệm người dùng.;Chỉ làm cho đẹp.;Viết mã backend.;Quản lý cơ sở dữ liệu.;A;1
SDLC là viết tắt của cụm từ nào?;Software Development Life Cycle;System Design Life Cycle;Software Design Life Cycle;System Development Life Cycle;A;1
Mô hình nào được coi là mô hình truyền thống và tuyến tính nhất?;Waterfall;Spiral;Agile;Prototyping;A;2
Trong mô hình Waterfall, khi nào quá trình kiểm thử bắt đầu?;Sau khi kết thúc pha thiết kế;Sau khi hoàn thành pha lập trình;Song song với pha phân tích;Trước khi khảo sát yêu cầu;B;2
Ưu điểm lớn nhất của mô hình Waterfall là gì?;Dễ quản lý và lập kế hoạch;Tính linh hoạt cao;Tương tác khách hàng liên tục;Dễ xử lý thay đổi yêu cầu;A;2
Mô hình nào tập trung mạnh vào quản lý rủi ro?;Spiral (Xoắn ốc);Waterfall;V-Model;RAD;A;2
Giai đoạn đầu tiên của mô hình Waterfall là gì?;Phân tích yêu cầu;Thiết kế hệ thống;Kiểm thử;Lập trình;A;2
Mô hình V-Model thường được gọi là gì?;Mô hình kiểm chứng và xác nhận;Mô hình tuyến tính;Mô hình hướng đối tượng;Mô hình tiến hóa;A;2
Mô hình nào cho phép xây dựng phiên bản phần mềm sơ khai để lấy ý kiến?;Prototyping (Mô hình tạo mẫu);Waterfall;V-Model;Waterfall cải tiến;A;2
Điểm khác biệt chính giữa Agile và Waterfall là gì?;Tính lặp và thích ứng;Tài liệu hóa;Chi phí nhân sự;Phần cứng sử dụng;A;2
Trong mô hình Agile, một khoảng thời gian làm việc ngắn hạn gọi là gì?;Sprint;Phase;Cycle;Stage;A;2
Mô hình nào sau đây KHÔNG phải là một mô hình phát triển phần mềm?;Mô hình quản lý nhân sự;Mô hình xoắn ốc;Mô hình thác nước;Mô hình chữ V;A;2
Mô hình Incremental (Tăng trưởng) phát triển phần mềm dựa trên?;Xây dựng từng phần tính năng cho đến khi hoàn thiện;Xây dựng toàn bộ hệ thống cùng lúc;Xây dựng phần cứng trước;Xây dựng kiểm thử trước;A;2
Mô hình RAD (Rapid Application Development) nhấn mạnh vào yếu tố nào?;Tốc độ phát triển;Độ bảo mật;Độ phức tạp;Khả năng chịu lỗi;A;2
Ai là người trực tiếp tham gia đánh giá trong mô hình Prototyping?;Khách hàng;Giám đốc tài chính;Nhà đầu tư;Đối thủ cạnh tranh;A;2
Mô hình nào phù hợp nhất cho dự án có yêu cầu không rõ ràng?;Prototyping hoặc Agile;Waterfall;V-Model;Mô hình tuyến tính;A;2
Nhược điểm của mô hình thác nước là gì?;Không chấp nhận sự thay đổi yêu cầu;Chi phí quá cao;Không cần tài liệu;Khó quản lý;A;2
Mô hình xoắn ốc kết hợp giữa mô hình nào?;Prototyping và Waterfall;Agile và V-Model;RAD và V-Model;Waterfall và V-Model;A;2
Sản phẩm đầu ra của pha phân tích yêu cầu trong SDLC là gì?;Tài liệu SRS;Mã nguồn;Giao diện người dùng;Kế hoạch bảo trì;A;2
Khảo sát yêu cầu trong SDLC giúp trả lời câu hỏi nào?;Hệ thống cần làm gì?;Dùng ngôn ngữ nào?;Máy tính nào chạy?;Ai là khách hàng?;A;2
Trong Agile, các yêu cầu được quản lý dưới dạng nào?;User Stories;Tài liệu thiết kế;Bản vẽ kỹ thuật;Biên bản cuộc họp;A;2
Mô hình nào thực hiện kiểm thử ngay từ giai đoạn thiết kế?;V-Model;Waterfall;Spiral;Agile;A;2
Ưu điểm của mô hình tiến hóa (Evolutionary) là gì?;Sản phẩm được cải tiến liên tục;Cố định yêu cầu từ đầu;Không cần test;Dễ dự đoán thời gian;A;2
Phát triển phần mềm trong SDLC là giai đoạn?;Viết mã nguồn (Coding);Vẽ biểu đồ;Thu thập yêu cầu;Kiểm thử;A;2
Mô hình Scrum là một nhánh của phương pháp nào?;Agile;Waterfall;V-Model;Tuyến tính;A;2
Tại sao cần có pha bảo trì trong SDLC?;Để sửa lỗi phát sinh và nâng cấp;Để viết thêm tài liệu;Để tăng giá bán;Để thay đổi ngôn ngữ;A;2
"Khái niệm ""Đóng băng yêu cầu"" thường thấy ở mô hình nào?";Waterfall;Agile;Spiral;RAD;A;2
Trong mô hình xoắn ốc, mỗi vòng lặp đại diện cho?;Một pha phát triển mới;Một lần kiểm thử;Một lần họp;Một lỗi cần sửa;A;2
Mô hình RAD yêu cầu điều gì từ phía khách hàng?;Tham gia tích cực vào quá trình phát triển;Không cần can thiệp;Chỉ nhận hàng;Chỉ thanh toán;A;2
Phương pháp nào sau đây giúp phát triển phần mềm nhanh nhất?;RAD;Waterfall;V-Model;Mô hình tuyến tính;A;2
Mô hình nào tập trung vào việc giao hàng sớm các bản demo?;Agile;Waterfall;V-Model;Mô hình xoắn ốc;A;2
"Quy trình ""Thiết kế"" trong SDLC bao gồm?";Thiết kế kiến trúc và thiết kế chi tiết;Viết code;Chạy test;Bàn giao;A;2
Mục tiêu cuối cùng của mọi mô hình SDLC là gì?;Chất lượng phần mềm tốt;Tăng số lượng lập trình viên;Giảm giá thành;Dùng nhiều máy tính;A;2
Trong mô hình V-Model, pha kiểm thử đơn vị tương ứng với?;Thiết kế chi tiết;Thiết kế hệ thống;Yêu cầu;Bảo trì;A;2
"Mô hình ""Agile"" đề cao giá trị nào nhất?";Cá nhân và sự tương tác;Tài liệu đầy đủ;Hợp đồng chặt chẽ;Tuân thủ kế hoạch;A;2
Trong SDLC, nếu bỏ qua bước kiểm thử sẽ dẫn đến?;Phần mềm nhiều lỗi và rủi ro cao;Phần mềm chạy nhanh hơn;Giảm chi phí;Dễ bảo trì;A;2
Điểm khác biệt của mô hình xoắn ốc với các mô hình khác là?;Phân tích rủi ro trong từng vòng lặp;Không cần phân tích;Chỉ dùng cho dự án nhỏ;Không cần tài liệu;A;2
Tài liệu SRS quan trọng nhất ở giai đoạn nào?;Phân tích yêu cầu;Lập trình;Bảo trì;Triển khai;A;2
"Mô hình ""Incremental"" phù hợp khi?";Dự án được chia nhỏ thành các phần có thể chạy được;Yêu cầu thay đổi hàng giờ;Dự án quy mô cực nhỏ;Không có ngân sách;A;2
"Trong SDLC, pha ""Triển khai"" (Deployment) là?";Đưa phần mềm vào môi trường thực tế;Viết code;Thiết kế;Họp;A;2
Mô hình nào thường dùng cho các dự án nghiên cứu, R&D?;Spiral;Waterfall;V-Model;Tuyến tính;A;2
Mục đích của việc chia nhỏ dự án thành các pha trong SDLC?;Để kiểm soát tiến độ và chất lượng;Để làm phức tạp vấn đề;Để tăng nhân sự;Để giảm yêu cầu;A;2
Tại sao Agile phù hợp với các startup?;Vì khả năng thích nghi nhanh;Vì chi phí thấp;Vì không cần quy trình;Vì nhân sự ít;A;2
"Mô hình ""Prototyping"" giúp khách hàng?";Hình dung rõ hơn về sản phẩm cuối cùng;Viết code giúp;Thay đổi quy mô;Kiểm tra phần cứng;A;2
Trong Agile, vai trò của Scrum Master là?;Điều phối nhóm;Viết toàn bộ code;Thiết kế UI;Duyệt tài liệu;A;2
Mô hình Waterfall còn có tên gọi khác là?;Mô hình tuyến tính;Mô hình xoắn;Mô hình linh hoạt;Mô hình lặp;A;2
Trong SDLC, việc bàn giao phần mềm kết thúc khi nào?;Sau khi đã nghiệm thu và đưa vào sử dụng;Khi vừa viết xong code;Khi xong thiết kế;Khi xong phân tích;A;2
Mô hình V-Model rất mạnh về?;Kiểm tra và kiểm chứng (Verification & Validation);Tốc độ;Tính rẻ;Tính dễ làm;A;2
Sự khác biệt giữa RAD và Waterfall?;RAD tập trung vào tốc độ và công cụ;Waterfall tập trung vào tài liệu;Không có sự khác biệt;RAD chậm hơn;A;2
Mô hình nào khó thực hiện thay đổi yêu cầu nhất?;Waterfall;Agile;Prototyping;Spiral;A;2
"Trong SDLC, pha ""Phân tích"" giúp xác định?";Các vấn đề cần giải quyết;Mã nguồn;Giao diện;Phần cứng;A;2
Dưới đây là 50 câu hỏi trắc nghiệm tập trung vào Chương 3: Phân tích yêu cầu và các kỹ thuật lấy yêu cầu. Bộ câu hỏi này được thiết kế để kiểm tra kiến thức về cách xác định, thu thập và quản lý yêu cầu trong dự án phần mềm.;;;;;;2
Câu hỏi;Đáp án A;Đáp án B;Đáp án C;Đáp án D;Đáp án đúng;2
Mục đích chính của kỹ thuật lấy yêu cầu là gì?;Xác định những gì người dùng thực sự cần;Viết mã nguồn;Thiết kế giao diện;Kiểm thử lỗi;A;3
Kỹ thuật phỏng vấn (Interviewing) là?;Trao đổi trực tiếp để lấy thông tin từ người dùng;Viết tài liệu tự động;Dùng máy quét;Tải tài liệu từ internet;A;3
Tại sao cần phân loại yêu cầu?;Để quản lý và ưu tiên thực hiện;Để làm đẹp tài liệu;Để tăng số lượng yêu cầu;Để giảm thời gian viết code;A;3
Brainstorming trong phân tích yêu cầu nghĩa là gì?;Nhóm họp để tạo ra nhiều ý tưởng nhất có thể;Viết code cá nhân;Kiểm tra máy tính;Sửa tài liệu;A;3
"Kỹ thuật ""Quan sát"" (Observation) giúp ích gì?";Hiểu quy trình thực tế mà người dùng thực hiện;Viết code nhanh;Thay đổi yêu cầu;Tăng ngân sách;A;3
Yêu cầu người dùng (User Requirements) được mô tả bằng ngôn ngữ nào?;Ngôn ngữ tự nhiên (dễ hiểu);Mã máy;Ngôn ngữ assembly;Mã hex;A;3
JAD (Joint Application Development) là gì?;Nhóm làm việc chung giữa khách hàng và kỹ sư;Viết code đơn lẻ;Kiểm thử độc lập;Bảo trì hệ thống;A;3
"Khi nào một yêu cầu được gọi là ""khả thi""?";Nếu có thể thực hiện được trong giới hạn nguồn lực;Nếu khách hàng đòi hỏi;Nếu lập trình viên thích;Nếu phần cứng mạnh;A;3
"Kỹ thuật ""Phân tích tài liệu"" (Document Analysis) là?";Nghiên cứu tài liệu cũ, quy trình cũ để rút ra yêu cầu;Viết tài liệu mới;Xóa tài liệu cũ;Chỉ đọc email;A;3
Yêu cầu chức năng mô tả cái gì?;Các chức năng, nghiệp vụ hệ thống cung cấp;Màu sắc giao diện;Loại máy chủ;Độ sáng màn hình;A;3
Yêu cầu phi chức năng (Non-functional) thường liên quan đến?;Chất lượng, hiệu năng, bảo mật;Cách đăng nhập;Nút bấm;Tên hàm;A;3
"Thế nào là yêu cầu ""rõ ràng""?";Không gây hiểu lầm, chỉ có một cách hiểu;Viết dài;Dùng từ khó;Không quan trọng;A;3
"Trong các kỹ thuật lấy yêu cầu, ""Workshop"" mang lại lợi ích gì?";Tạo sự đồng thuận giữa các bên liên quan;Viết code nhanh;Tăng dung lượng file;Giảm lương;A;3
Yêu cầu nào dưới đây là yêu cầu phi chức năng?;Hệ thống phải phản hồi trong dưới 2 giây;Hệ thống có nút đăng ký;Hệ thống có báo cáo;Hệ thống có tìm kiếm;A;3
Biểu đồ Use Case là công cụ hỗ trợ cho?;Phân tích yêu cầu;Viết mã nguồn;Thiết kế phần cứng;Kiểm tra mạng;A;3
Kỹ thuật nào phù hợp nhất để làm rõ yêu cầu mơ hồ?;Tạo mẫu thử (Prototyping);Viết thêm email;Chờ đợi;Xóa yêu cầu;A;3
Ai là người cung cấp thông tin cho việc lấy yêu cầu?;Stakeholders (Các bên liên quan);Lập trình viên;Nhân viên vệ sinh;Người sửa máy;A;3
"Yêu cầu ""User Story"" thường có dạng?";Là một..., tôi muốn..., để...;Chỉ là một câu lệnh;Mã nguồn;Công thức toán;A;3
Để tránh thiếu sót yêu cầu, kỹ sư nên?;Trao đổi thường xuyên với người dùng;Làm việc một mình;Đoán yêu cầu;Bỏ qua yêu cầu khó;A;3
"Yêu cầu ""Ưu tiên"" giúp đội phát triển biết?";Việc gì cần làm trước;Việc gì không quan trọng;Việc gì khó nhất;Việc gì tốn tiền nhất;A;3
Kỹ thuật nào dùng để phát hiện mâu thuẫn yêu cầu?;Review và kiểm tra chéo;Viết code;Tăng tốc độ máy;Xóa dự án;A;3
"Yêu cầu ""Khả năng mở rộng"" thuộc loại?";Phi chức năng;Chức năng;Giao diện;Phần cứng;A;3
Việc xác nhận yêu cầu (Validation) nhằm đảm bảo?;Yêu cầu đúng với ý muốn khách hàng;Yêu cầu dài nhất;Yêu cầu tốn tiền nhất;Yêu cầu khó nhất;A;3
Requirement Traceability (Truy xuất yêu cầu) là gì?;Theo dõi vòng đời yêu cầu từ đầu đến cuối;Xóa yêu cầu;Viết code;Kiểm tra máy;A;3
"Kỹ thuật ""Scenario"" (Kịch bản) giúp ích gì?";Mô tả ngữ cảnh sử dụng hệ thống;Viết code;Sửa lỗi;Tăng tốc độ;A;3
"Thành phần chính trong bảng ""Glossary"" của dự án là?";Các thuật ngữ chuyên môn;Tên nhân viên;Mã code;Lỗi hệ thống;A;3
"Sự khác biệt giữa ""Yêu cầu"" và ""Mong muốn"" là gì?";Yêu cầu là bắt buộc, mong muốn là ưu tiên thêm;Không khác nhau;Yêu cầu là tùy chọn;Mong muốn là bắt buộc;A;3
Tại sao cần phân tích đối thủ cạnh tranh?;Để học hỏi và làm tốt hơn;Để sao chép;Để kiện;Để phá sản;A;3
"Kỹ thuật ""Questionnaire"" (Bảng câu hỏi) dùng cho?";Thu thập thông tin từ số lượng lớn người dùng;Phỏng vấn 1 người;Viết code;Họp nhóm;A;3
"Yêu cầu về ""Tính sẵn sàng"" (Availability) là yêu cầu?";Phi chức năng;Chức năng;Giao diện;Phần cứng;A;3
Việc thay đổi yêu cầu sau khi chốt (Scope Creep) dẫn đến?;Trễ tiến độ và tăng chi phí;Giảm chi phí;Giảm lỗi;Tăng nhân sự;A;3
Yêu cầu nào sau đây KHÔNG phải là chức năng?;Hệ thống chạy trên nền tảng Windows 11;Đăng nhập;Đăng xuất;Thanh toán;A;3
Ai chịu trách nhiệm phê duyệt yêu cầu?;Khách hàng/Chủ đầu tư;Tester;Nhân viên mới;Người không liên quan;A;3
Kỹ thuật thu thập yêu cầu nào tốn thời gian nhất?;Phỏng vấn chuyên sâu;Gửi email;Đọc báo cáo;Xem video;A;3
"Mô hình ""Context Diagram"" (Biểu đồ ngữ cảnh) thể hiện?";Phạm vi của hệ thống và các thực thể bên ngoài;Cấu trúc code;Phần cứng;Giao diện;A;3
"Yêu cầu cần phải ""Kiểm chứng được"" (Verifiable) có nghĩa là?";Có thể đo lường và xác nhận kết quả;Viết thật hay;Dùng từ khó;Không ai hiểu;A;3
"Kỹ thuật ""Focus Group"" là?";Họp một nhóm nhỏ người dùng để thảo luận;Viết code;Kiểm thử;Họp cá nhân;A;3
"Yêu cầu về ""Khả năng bảo mật"" là yêu cầu?";Phi chức năng;Chức năng;Tương tác;Thủ công;A;3
Việc quản lý yêu cầu bao gồm?;Ghi nhận, cập nhật và theo dõi thay đổi;Viết code;Sửa lỗi;Họp;A;3
Tại sao yêu cầu cần được viết tài liệu?;Để làm căn cứ triển khai và kiểm thử;Để trang trí;Để làm khó;Để tốn giấy;A;3
Kỹ thuật lấy yêu cầu nào linh hoạt nhất?;Phỏng vấn;Bảng câu hỏi;Phân tích tài liệu;Quan sát;A;3
"Yêu cầu ""Tính dễ sử dụng"" (Usability) là?";Phi chức năng;Chức năng;Cấu trúc;Phần cứng;A;3
Trong quá trình lấy yêu cầu, kỹ sư nên?;Lắng nghe nhiều hơn nói;Nói nhiều hơn nghe;Tranh cãi;Bỏ về;A;3
Mối quan hệ giữa phân tích yêu cầu và thiết kế?;Phân tích là đầu vào cho thiết kế;Thiết kế là đầu vào cho phân tích;Không liên quan;Thiết kế trước phân tích;A;3
Yêu cầu không được phê duyệt sẽ dẫn đến?;Rủi ro phát triển sai hướng;Tiến độ nhanh;Tiết kiệm tiền;Lỗi hệ thống;A;3
"Kỹ thuật ""Use Case"" tập trung vào?";Cách người dùng đạt được mục tiêu;Số lượng code;Tốc độ máy;Màu sắc;A;3
Yêu cầu phi chức năng quan trọng vì?;Nó quyết định chất lượng và sự hài lòng;Nó làm tăng giá;Nó làm chậm code;Nó không cần thiết;A;3
Tài liệu SRS nên được viết cho?;Tất cả các bên liên quan;Chỉ lập trình viên;Chỉ sếp;Chỉ khách hàng;A;3
Khi có yêu cầu xung đột, kỹ sư nên?;Họp các bên để thương thảo;Chọn bên mạnh;Chọn bên yếu;Bỏ qua;A;3
Kỹ thuật lấy yêu cầu phụ thuộc vào?;Quy mô dự án và đối tượng khách hàng;Giờ làm việc;Máy tính;Ngôn ngữ lập trình;A;3
Biểu đồ lớp (Class Diagram) thể hiện mối quan hệ nào?;Cấu trúc tĩnh của hệ thống;Hành vi động theo thời gian;Trình tự xử lý dữ liệu;Sự phân bố vật lý;A;4
"Trong UML, mối quan hệ ""Composition"" (Thành phần) có ý nghĩa gì?";Sở hữu chặt chẽ, đối tượng con không tồn tại nếu không có đối tượng cha;Sở hữu lỏng lẻo;Quan hệ kế thừa;Quan hệ phụ thuộc;A;4
Mục đích chính của biểu đồ tuần tự (Sequence Diagram) là gì?;Mô tả luồng tương tác giữa các đối tượng theo thời gian;Mô tả cấu trúc lớp;Mô tả phần cứng;Mô tả cơ sở dữ liệu;A;4
Biểu đồ trạng thái (Statechart Diagram) đặc biệt hữu ích cho?;Các đối tượng có trạng thái thay đổi phức tạp;Các đối tượng tĩnh;Các hàm toán học;Các hệ thống không có trạng thái;A;4
"Trong nguyên lý SOLID, chữ ""D"" (Dependency Inversion) viết tắt cho?";Phụ thuộc vào trừu tượng thay vì chi tiết;Phụ thuộc vào chi tiết;Phụ thuộc vào lớp con;Phụ thuộc vào hàm main;A;4
"Mẫu thiết kế (Design Pattern) ""Singleton"" dùng để?";Đảm bảo một lớp chỉ có một thể hiện duy nhất;Tạo nhiều đối tượng;Xóa đối tượng;Tăng tốc độ xử lý;A;4
Biểu đồ thành phần (Component Diagram) tập trung vào?;Cấu trúc vật lý của hệ thống (file, thư viện);Cấu trúc logic;Hành vi người dùng;Tương tác mạng;A;4
Độ ghép nối (Coupling) tốt nhất là?;Low (Thấp);High (Cao);Trung bình;Không giới hạn;A;4
Độ gắn kết (Cohesion) tốt nhất là?;High (Cao);Low (Thấp);Trung bình;Không quan trọng;A;4
"Trong biểu đồ lớp, ký hiệu ""-"" trước tên thuộc tính nghĩa là?";Private;Public;Protected;Internal;A;4
"Trong biểu đồ lớp, ký hiệu ""+"" trước tên phương thức nghĩa là?";Public;Private;Protected;Internal;A;4
Biểu đồ triển khai (Deployment Diagram) hiển thị?;Cách phần mềm ánh xạ lên hạ tầng phần cứng;Luồng dữ liệu;Cách người dùng đăng nhập;Các bước thực hiện dự án;A;4
"Mẫu thiết kế ""Factory"" thuộc nhóm nào?";Creational (Khởi tạo);Structural (Cấu trúc);Behavioral (Hành vi);Không thuộc nhóm nào;A;4
